,speaker,minute,text,label,prob,sentiment
0,George Stephanopoulos,00:41,"Hey, and welcome to our town hall with Joe Biden. Mr. Vice President, welcome to you.",10,0.41809654,gratitude
1,George Stephanopoulos,00:41,"Hey, and welcome to our town hall with Joe Biden. Mr. Vice President, welcome to you.",11,0.16145183,joy
2,George Stephanopoulos,00:41,"Hey, and welcome to our town hall with Joe Biden. Mr. Vice President, welcome to you.",8,0.14998269,excitement
3,Joe Biden,00:46,Good to be with you.,0,0.2753318,admiration
4,Joe Biden,00:46,Good to be with you.,11,0.18737239,joy
5,Joe Biden,00:46,Good to be with you.,10,0.16216634,gratitude
6,George Stephanopoulos,00:47,"We’re here with a group of Pennsylvania voters. You can see they’re all appropriately socially distanced tonight. And there are a group of, some are voting for you, some have said they’re voting for president Trump, some are still undecided, and we’re going to try to take questions from as many of them as we can tonight.",5,0.15979053,curiosity
7,George Stephanopoulos,00:47,"We’re here with a group of Pennsylvania voters. You can see they’re all appropriately socially distanced tonight. And there are a group of, some are voting for you, some have said they’re voting for president Trump, some are still undecided, and we’re going to try to take questions from as many of them as we can tonight.",14,0.15836148,optimism
8,George Stephanopoulos,00:47,"We’re here with a group of Pennsylvania voters. You can see they’re all appropriately socially distanced tonight. And there are a group of, some are voting for you, some have said they’re voting for president Trump, some are still undecided, and we’re going to try to take questions from as many of them as we can tonight.",3,0.13479441,approval
9,Joe Biden,01:02,Okay.,3,0.42504013,approval
10,Joe Biden,01:02,Okay.,13,0.16947357,neutral
11,Joe Biden,01:02,Okay.,0,0.086436674,admiration
12,George Stephanopoulos,01:02,"And we’re going to start with Nicholas Fed, and he’s from Jenkintown, Pennsylvania. That’s close to here, in Philadelphia.",3,0.21320255,approval
13,George Stephanopoulos,01:02,"And we’re going to start with Nicholas Fed, and he’s from Jenkintown, Pennsylvania. That’s close to here, in Philadelphia.",13,0.19910905,neutral
14,George Stephanopoulos,01:02,"And we’re going to start with Nicholas Fed, and he’s from Jenkintown, Pennsylvania. That’s close to here, in Philadelphia.",14,0.13159522,optimism
15,Joe Biden,01:08,I know it well.,3,0.34573856,approval
16,Joe Biden,01:08,I know it well.,0,0.2010536,admiration
17,Joe Biden,01:08,I know it well.,15,0.09417104,realization
18,George Stephanopoulos,01:09,You’re a Democrat.,3,0.2777375,approval
19,George Stephanopoulos,01:09,You’re a Democrat.,0,0.2063114,admiration
20,George Stephanopoulos,01:09,You’re a Democrat.,13,0.17937833,neutral
21,Nicholas Fed,01:11,"I’m a Democrat. Thank you, George. Mr. Vice President, every day, my wife and I are in disbelief at the lack of coordinated federal action on COVID-19. We know that your administration would follow the science. My question for you, it’s two parts. First, looking backwards to when this country first became aware of COVID-19, what would following the science have meant in terms of actual policy? And then, looking forward, what would your administration do in terms of following the science with real concrete policies that haven’t been done by the current administration?",5,0.3050921,curiosity
22,Nicholas Fed,01:11,"I’m a Democrat. Thank you, George. Mr. Vice President, every day, my wife and I are in disbelief at the lack of coordinated federal action on COVID-19. We know that your administration would follow the science. My question for you, it’s two parts. First, looking backwards to when this country first became aware of COVID-19, what would following the science have meant in terms of actual policy? And then, looking forward, what would your administration do in terms of following the science with real concrete policies that haven’t been done by the current administration?",10,0.21542627,gratitude
23,Nicholas Fed,01:11,"I’m a Democrat. Thank you, George. Mr. Vice President, every day, my wife and I are in disbelief at the lack of coordinated federal action on COVID-19. We know that your administration would follow the science. My question for you, it’s two parts. First, looking backwards to when this country first became aware of COVID-19, what would following the science have meant in terms of actual policy? And then, looking forward, what would your administration do in terms of following the science with real concrete policies that haven’t been done by the current administration?",4,0.19254553,confusion
24,Joe Biden,01:55,"Well, first of all, going back, the fact is that the president was informed how dangerous this virus was. And all the way back in the beginning of February, I argued that we should be keeping people in China. And we had set up, in our administration, a pandemic office within the White House. There were 44 people on the ground.",9,0.24473928,fear
25,Joe Biden,01:55,"Well, first of all, going back, the fact is that the president was informed how dangerous this virus was. And all the way back in the beginning of February, I argued that we should be keeping people in China. And we had set up, in our administration, a pandemic office within the White House. There were 44 people on the ground.",15,0.14404997,realization
26,Joe Biden,01:55,"Well, first of all, going back, the fact is that the president was informed how dangerous this virus was. And all the way back in the beginning of February, I argued that we should be keeping people in China. And we had set up, in our administration, a pandemic office within the White House. There were 44 people on the ground.",3,0.08209786,approval
27,Joe Biden,02:16,"I suggested that we should be seeking, and I didn’t hold public office, I was a former Vice President, we in fact asked to have access to the source of the problem. And the best of our knowledge, Trump never pushed that. All those 44 people came home, never got replaced. In addition to that, I pointed out that I thought in February, I did a piece for USA Today saying, “This is a serious problem. Trump denied it. He said it wasn’t.”",7,0.2728844,disapproval
28,Joe Biden,02:16,"I suggested that we should be seeking, and I didn’t hold public office, I was a former Vice President, we in fact asked to have access to the source of the problem. And the best of our knowledge, Trump never pushed that. All those 44 people came home, never got replaced. In addition to that, I pointed out that I thought in February, I did a piece for USA Today saying, “This is a serious problem. Trump denied it. He said it wasn’t.”",15,0.15029725,realization
29,Joe Biden,02:16,"I suggested that we should be seeking, and I didn’t hold public office, I was a former Vice President, we in fact asked to have access to the source of the problem. And the best of our knowledge, Trump never pushed that. All those 44 people came home, never got replaced. In addition to that, I pointed out that I thought in February, I did a piece for USA Today saying, “This is a serious problem. Trump denied it. He said it wasn’t.”",6,0.13629712,disappointment
30,Joe Biden,02:42,"We later learned that he knew full well how serious it was when he did an interview with George Woodward. I mean, excuse me, Bob Woodward. And at the time, he said he didn’t tell anybody because he was afraid Americans would panic. Americans don’t panic, he panicked. He didn’t say a word to anybody.",9,0.5921624,fear
