,speaker,minute,text,label,prob,sentiment
0,Savannah Guthrie,03:50,"It’s nothing but noise. What? Okay. All right, ladies and gentlemen, not withstanding a little, few technical difficulties, we’re thrilled to have you tonight. And we are very honored by the presence of our president, Donald Trump, who is going to walk in right now. We are about 30 seconds from air, so it’ll be just in time. Mr. President.",8,0.22040708,excitement
1,Savannah Guthrie,03:50,"It’s nothing but noise. What? Okay. All right, ladies and gentlemen, not withstanding a little, few technical difficulties, we’re thrilled to have you tonight. And we are very honored by the presence of our president, Donald Trump, who is going to walk in right now. We are about 30 seconds from air, so it’ll be just in time. Mr. President.",0,0.14601628,admiration
2,Savannah Guthrie,03:50,"It’s nothing but noise. What? Okay. All right, ladies and gentlemen, not withstanding a little, few technical difficulties, we’re thrilled to have you tonight. And we are very honored by the presence of our president, Donald Trump, who is going to walk in right now. We are about 30 seconds from air, so it’ll be just in time. Mr. President.",11,0.12433776,joy
3,Speaker 1,04:35,This is an NBC news special presentation of Today with Savannah Guthrie.,8,0.21907182,excitement
4,Speaker 1,04:35,This is an NBC news special presentation of Today with Savannah Guthrie.,13,0.15284595,neutral
5,Speaker 1,04:35,This is an NBC news special presentation of Today with Savannah Guthrie.,11,0.14185272,joy
6,Savannah Guthrie,04:40,"Tonight, Donald Trump in the arena. His first prime time network appearance since falling ill with Coronavirus.",8,0.27671015,excitement
7,Savannah Guthrie,04:40,"Tonight, Donald Trump in the arena. His first prime time network appearance since falling ill with Coronavirus.",11,0.17958051,joy
8,Savannah Guthrie,04:40,"Tonight, Donald Trump in the arena. His first prime time network appearance since falling ill with Coronavirus.",13,0.091648564,neutral
9,President Trump,04:48,"I’m feeling great, I don’t know about you. How is everyone feeling?",5,0.2726181,curiosity
10,President Trump,04:48,"I’m feeling great, I don’t know about you. How is everyone feeling?",4,0.18373764,confusion
11,President Trump,04:48,"I’m feeling great, I don’t know about you. How is everyone feeling?",0,0.143149,admiration
12,Savannah Guthrie,04:51,"With tonight’s debate canceled, the President faces our questions live and hears from voters about their concerns in the battleground state of Florida.",5,0.14187562,curiosity
13,Savannah Guthrie,04:51,"With tonight’s debate canceled, the President faces our questions live and hears from voters about their concerns in the battleground state of Florida.",1,0.10393617,anger
14,Savannah Guthrie,04:51,"With tonight’s debate canceled, the President faces our questions live and hears from voters about their concerns in the battleground state of Florida.",2,0.10217758,annoyance
15,President Trump,05:00,"It’s great to be back in my home state, Florida, to make my official return to the campaign trail.",0,0.29481718,admiration
16,President Trump,05:00,"It’s great to be back in my home state, Florida, to make my official return to the campaign trail.",8,0.17159179,excitement
17,President Trump,05:00,"It’s great to be back in my home state, Florida, to make my official return to the campaign trail.",11,0.1672997,joy
18,Savannah Guthrie,05:06,"With just 19 days to go, the President makes his case.",14,0.2829057,optimism
19,Savannah Guthrie,05:06,"With just 19 days to go, the President makes his case.",3,0.22931874,approval
20,Savannah Guthrie,05:06,"With just 19 days to go, the President makes his case.",13,0.11990962,neutral
21,President Trump,05:10,My goal is to fight for you and fight for your family.,14,0.3379485,optimism
22,President Trump,05:10,My goal is to fight for you and fight for your family.,3,0.17953935,approval
23,President Trump,05:10,My goal is to fight for you and fight for your family.,13,0.096593976,neutral
24,Speaker 1,05:16,"From NBC News, Decision 2020, President Trump Town Hall. Live from the Perez Art Museum in Miami, here’s Savannah Guthrie.",8,0.25258315,excitement
25,Speaker 1,05:16,"From NBC News, Decision 2020, President Trump Town Hall. Live from the Perez Art Museum in Miami, here’s Savannah Guthrie.",13,0.15637079,neutral
26,Speaker 1,05:16,"From NBC News, Decision 2020, President Trump Town Hall. Live from the Perez Art Museum in Miami, here’s Savannah Guthrie.",11,0.12184029,joy
27,Savannah Guthrie,05:28,"Hi everybody, and good evening. It’s good to have you with us, and welcome to Miami and our town hall with President Donald Trump. And we want to say right off the top, this is not how things were supposed to go tonight. This was supposed to be a town hall debate between Donald Trump and Joe Biden. But after the President contracted COVID, the debate commission announced it would have to be a virtual debate because of health concerns. The President then said he would not participate in a virtual debate. At that point, Joe Biden scheduled a town hall tonight in Pennsylvania on another network, and now the President is doing the same, his own town hall with the same venue format and time as NBC’s town hall with Joe Biden last week. So the two candidates go head to head tonight, though, not face to face, each in a key battleground state.",10,0.26242712,gratitude
28,Savannah Guthrie,05:28,"Hi everybody, and good evening. It’s good to have you with us, and welcome to Miami and our town hall with President Donald Trump. And we want to say right off the top, this is not how things were supposed to go tonight. This was supposed to be a town hall debate between Donald Trump and Joe Biden. But after the President contracted COVID, the debate commission announced it would have to be a virtual debate because of health concerns. The President then said he would not participate in a virtual debate. At that point, Joe Biden scheduled a town hall tonight in Pennsylvania on another network, and now the President is doing the same, his own town hall with the same venue format and time as NBC’s town hall with Joe Biden last week. So the two candidates go head to head tonight, though, not face to face, each in a key battleground state.",3,0.13837773,approval
29,Savannah Guthrie,05:28,"Hi everybody, and good evening. It’s good to have you with us, and welcome to Miami and our town hall with President Donald Trump. And we want to say right off the top, this is not how things were supposed to go tonight. This was supposed to be a town hall debate between Donald Trump and Joe Biden. But after the President contracted COVID, the debate commission announced it would have to be a virtual debate because of health concerns. The President then said he would not participate in a virtual debate. At that point, Joe Biden scheduled a town hall tonight in Pennsylvania on another network, and now the President is doing the same, his own town hall with the same venue format and time as NBC’s town hall with Joe Biden last week. So the two candidates go head to head tonight, though, not face to face, each in a key battleground state.",14,0.12899734,optimism
30,Savannah Guthrie,06:11,"And tonight, the President will be taking questions from voters here in Miami, who we should mention are socially distanced and they’re wearing masks. And I should say, this audience looks a bit like America, it’s divided. Some here voted for the president in 2016 and plan to again, some support Joe Biden, and some say they are truly undecided. We’re going to get a mix of questions on a range of topics, and we’re going to get to those questions in a moment. But first with all of that ado, welcome, Mr. President, and thank you for being here.",10,0.644335,gratitude
31,Savannah Guthrie,06:11,"And tonight, the President will be taking questions from voters here in Miami, who we should mention are socially distanced and they’re wearing masks. And I should say, this audience looks a bit like America, it’s divided. Some here voted for the president in 2016 and plan to again, some support Joe Biden, and some say they are truly undecided. We’re going to get a mix of questions on a range of topics, and we’re going to get to those questions in a moment. But first with all of that ado, welcome, Mr. President, and thank you for being here.",3,0.051536422,approval
32,Savannah Guthrie,06:11,"And tonight, the President will be taking questions from voters here in Miami, who we should mention are socially distanced and they’re wearing masks. And I should say, this audience looks a bit like America, it’s divided. Some here voted for the president in 2016 and plan to again, some support Joe Biden, and some say they are truly undecided. We’re going to get a mix of questions on a range of topics, and we’re going to get to those questions in a moment. But first with all of that ado, welcome, Mr. President, and thank you for being here.",14,0.049455952,optimism
33,President Trump,06:37,"That was very well stated, I have to say. Good job.",0,0.43938985,admiration
34,President Trump,06:37,"That was very well stated, I have to say. Good job.",10,0.21507499,gratitude
35,President Trump,06:37,"That was very well stated, I have to say. Good job.",3,0.12252874,approval
36,Savannah Guthrie,06:40,"Thank you. We’re glad you’re here, we’re glad you’re well. We send our best to the First Lady and to Barron.",10,0.54557407,gratitude
37,Savannah Guthrie,06:40,"Thank you. We’re glad you’re here, we’re glad you’re well. We send our best to the First Lady and to Barron.",11,0.16982162,joy
38,Savannah Guthrie,06:40,"Thank you. We’re glad you’re here, we’re glad you’re well. We send our best to the First Lady and to Barron.",0,0.11071502,admiration
39,President Trump,06:46,"Thank you, thank you.",10,0.9058638,gratitude
40,President Trump,06:46,"Thank you, thank you.",0,0.022433925,admiration
41,President Trump,06:46,"Thank you, thank you.",3,0.012533593,approval
42,Savannah Guthrie,06:46,Do you have any remaining symptoms from COVID?,5,0.4875778,curiosity
43,Savannah Guthrie,06:46,Do you have any remaining symptoms from COVID?,4,0.34152213,confusion
44,Savannah Guthrie,06:46,Do you have any remaining symptoms from COVID?,13,0.037580237,neutral
45,President Trump,06:48,"Nothing whatsoever, I’m great, I feel good. I was in North Carolina today and did a big rally with tremendous turnout, and I just feel really good. Florida, Pennsylvania, were- They said, “Let’s go to the hospital.” I said, “That’s okay. I’m going to respond to what you say.” And we went over to Walter Reed, where you have tremendous professionals. They gave me Regeneron and Remdeceiver both. And all I know is I felt good the following day, I felt really good.",0,0.30349785,admiration
46,President Trump,06:48,"Nothing whatsoever, I’m great, I feel good. I was in North Carolina today and did a big rally with tremendous turnout, and I just feel really good. Florida, Pennsylvania, were- They said, “Let’s go to the hospital.” I said, “That’s okay. I’m going to respond to what you say.” And we went over to Walter Reed, where you have tremendous professionals. They gave me Regeneron and Remdeceiver both. And all I know is I felt good the following day, I felt really good.",11,0.16546533,joy
